text,response
Coronavirus disease (COVID-19) advice for the public: Myth busters  Taking a hot bath does not prevent the new coronavirus disease Source : https://t.co/zYY7MfQqTU #who #mythbuster #localhulchul #knowledgehulchul #spreadawareness #stayprotected #coronavirus-19 https://t.co/VvsujsaKtw,0
"Q: Does taking a hot bath prevent the new #coronavirus disease?  A: Taking a hot bath will not prevent you from catching #COVID19. Your normal body temperature remains around 36.5C to 37C, regardless of the temperature of your bath or shower. https://t.co/F8BYvK48ex",0
"The @WHO says taking a hot bath will not prevent #COVID19. Protect yourself by cleaning hands and avoid touching eyes, mouth and nose. #FlattenTheCurveGA #FlattenTheCurve #PublicHealth    For coronavirus info: https://t.co/aG7YSsvuG4 https://t.co/HLAObQtMh2",0
Coronavirus myth buster: Taking a hot bath will not protect me from coronavirus #stayhome https://t.co/7h0vh71ba9 https://t.co/Q8DJyHg5h3,0
Hearing and reading all sorts about #CoronaVirus &amp; #COVID19 but not sure what to believe? The @WHO are setting the story straight with their 'myth buster' series.  &gt;&gt; Taking a hot bath does not prevent the new coronavirus disease https://t.co/7aKu4XvPbn  #2019nCoV https://t.co/r9BdWKGXkA,0
#COVID19 #MythVsFacts   Taking a hot bath DOES NOT prevent the coronavirus  #CoronaVirusNigeria #COVID19 #CoronaVirusUpdate  Image source: @WHONigeria https://t.co/B3ie86HZ4c,0
Does taking hot bath protect you from coronavirus ? #COVID19 #ItaliaZonaRossa #coronavirus #COVID19 #CoronavirusLockdown #coronarvirusitalia #CoronavirusLockdown #coronavirusindia https://t.co/fwqdGSwvQz,2
Hey @kmasterman #fact : Taking a hot bath will not prevent you from catching COVID-19. #coronavirus,0
"@JustinTrudeau @MichaelBuble @VancityReynolds We don't have infected patients  so much in Japan  Japanese people  take a bath every day  ,  and we soak and warm ourselves up in the bath tab.  Virus is very weak in the hot and humid air. So I think  taking  a bath and relaxing are effective  coronavirus prevention.",1
"Today alone, I've heard more than 10 different stories of how to overcome coronavirus:  1. Check inside your Bible, anything you see inside take it and swallow.  2. Bath with hot water as regular as possible (5-10 times).  3. Apply enough pepper in any of your meals regularly  4.",1
WHO Myth busters: Taking a hot bath does not prevent the new coronavirus disease https://t.co/WxKiaT3B78,0
Taking a hot bath does not prevent the new coronavirus disease  Taking a hot bath will not prevent you from catching COVID-19.  #Covid19 #mythbusters @WHO https://t.co/T1O45ARaDY,0
Tuuree would like to share few Myth busters.  Here is the advice for public. #StaySafe #FactCheck  Fact 1: Taking a hot bath does not prevent the new coronavirus disease. https://t.co/zyKADvolqi,0
Hey @PrometheusIV #lie : Taking a hot bath does not prevent the new coronavirus disease. #coronavirus #moronavirus,2
#COVID_19 Facts: Taking a hot bath does not prevent the new coronavirus disease.  #TDEFacts #TravelDotEarth #TTOT #DidYouKnow #DidYouKnowThat #Facts #Health #Virus #Coronavirus #NovelCoronavirus #WHO #StaySafe #Lockdown #IndiaFightsCorona #StayHome https://t.co/dgXTSQO4g1,0
3. Taking a hot bath does not prevent the new coronavirus disease. https://t.co/loT2isxp7v,0
"@narendramodi, @PMOIndia, I know there is no any cure or vaccine for Covid-19 disease but I think in primary stage of this disease we can prevent it. Make gargle of salt water, drink hot water around 3-4 times a day and get hot steam to face at night",1
"COVID-19
Myth-busters

There's a lot of false information around:
These are the facts

Taking a hot bath DOES NOT prevent the coronavirus

#RiversCovid19
#coronavirus https://t.co/b4y2gfCw6k",0
Taking a hot bath can prevent the new #coronavirus  disease?  #hushpuppiespak #hushpuppiespolloncoronavirus,1
"No, Covid-19 is not linked in any way to 5G. No, you can't prevent or cure Covid-19 by drinking hot water constantly, nor by consuming lots of garlic. Help prevent the spread of Covid-19 hoaxes &amp; misinformation! People's lives depend on it. #CovidHoaxes https://t.co/CKYu1Ria3B",0
Coronavirus Mythbuster 11:  Taking a hot bath does not prevent the new coronavirus disease.  Coronavirus Mythbuster 12:  The new coronavirus CANNOT be transmitted through mosquito bites. https://t.co/XL8ZCWKG1t,0
WHO Myth busters: Taking a hot bath does not prevent the new coronavirus disease  https://t.co/gFYjxkUYn3,0
#WorldHealthOrganization Taking a hot bath does not prevent the new coronavirus disease #Mythbusters #COVID19 #pharmacists,0
#COVID-19 myth busters! Taking a hot bath DOES NOT prevent the new #coronavirus disease #coronavirusmyths #stayintheknow https://t.co/sM1DNd2288,1
Hey @PrometheusIV #lie : Taking a hot bath does not prevent the new coronavirus disease. #coronavirus #moronavirus,0
#COVID-19 myth busters! Taking a hot bath DOES NOT prevent the new #coronavirus disease #coronavirusmyths #stayintheknow https://t.co/sM1DNd2288,0
"Taking a hot bath does not prevent the new coronavirus disease. Your normal body temperature remains the same, regardless of the temperature of your bath or shower. Actually, taking a hot bath with extremely hot water can be harmful, as it can burn you.  #MythBusters #COVID19 https://t.co/yhKyMkofOP",0
Taking a hot bath does not prevent the new coronavirus disease. You can help us share these images. https://t.co/dqig6prJzA #COVID19 #CORONAVIRUS https://t.co/zP0wCweYHR,0
@NCDCgov @bethelpat36 Does warm bath and taking hot drinks prevent infection with Covid-19?,2
Coronavirus Myths and Facts #2  According to the @WHO(world health organization) taking a hot bath doesn't prevent coronavirus disease.  Please don't spread wrong Information around you.  #ghar_me_raho  #fitindia #desh #fightagainstcoronavirus #gocorona #staystrong #stayathome https://t.co/voExJBz0hW,0
"If coronavirus scares you, read this to take control over your health anxiety https://t.co/4wMptV4gtX Anything that will give you a little boost can help. you can also cook yourself something nice, have a hot bath, or listen to a song you love",2
I been taking a long hot bath every day since this coronavirus shit started,2
#lie : Taking a hot bath does not prevent the new coronavirus disease. #coronavirus https://t.co/AJfdDTPpkA,0
"@antonioguterres @franceonu We don't have patients so much in Japan .  Japanese people  take a bath every day  ,  and we soak and warm ourselves up in the bath tab.  Virus is very weak in the hot and humid air.  I think  taking  a bath is effective  coronavirus prevention. Pls retweet this  if you like https://t.co/09CvOohH6r",1
You may have heard that taking a hot bath can kill the coronavirus but as far as we suggest now social distancing and hand washing is the best way to avoid corona.  #OVUMhospitals #OVUMbangalore #OVUM #tipstoavoidcorona #COVID19 #Stayathome #myths #facts #tips #corona https://t.co/9zCUqMnL4g,0
"Taking a hot bath does not prevent the new coronavirus disease. Your normal body temperature remains the same, regardless of the temperature of your bath or shower. Actually, taking a hot bath will extremely hot water can be harmful, as it can burn you.  #MythBusters  #Covid19 https://t.co/2PoNUeRjCq",0
@SimuLiu I finally convinced my Dad-in-law that my Mom-in-law had the wrong information about curing coronavirus with hot water so he should just stay put! He was fully prepared to help the community after gurgling hot water and taking a super hot bath!,0
@btbtbtsssssss_ @BTS_twt Group Hugs! I finally convinced my Dad-in-law that my Mom-in-law had the wrong information about curing coronavirus with hot water so he should just stay put! He was fully prepared to help the community after gurgling hot water and taking a super hot bath! https://t.co/4HKNY41y7l,2
Taking a hot bath does not prevent the new coronavirus disease #FridayNightDinner #FridayFeeling #COVID2019 #COVIDIDIOT https://t.co/s1LG3cEwXf,1
Myth BOOSTER. Please share. . Taking a hot bath does not prevent the new coronavirus disease. . #MakeChinaPay #COVID19Pakistan #coronavirusindia #WhoCanSave_The_World #Covid19Out  #21daysLockdown  #21daylockdown #21DaysChallenge  #DiscoRaja https://t.co/yKeLHFSIMZ,0
"We don't have infected patients  so much in Japan  Japanese people  take a bath every day  ,  and we soak and warm ourselves up in the bath tab.  Virus is very weak in the hot and humid air. So I think  taking  a bath and relaxing are effective  coronavirus prevention. https://t.co/JubVQY0zhg",2
Taking a hot bath DOES NOT prevent the coronavirus,0
#COVID-19 myth busters! Taking a hot bath DOES NOT prevent the new #coronavirus disease #coronavirusmyths #stayintheknow https://t.co/stac8FnXTT,0
12. Taking a hot bath does not prevent the new coronavirus disease https://t.co/bICOqSTOuD,1
* COVID-19 virus can be transmitted in areas with hot and humid climates * Cold weather and snow CANNOT kill the new coronavirus * Taking a hot bath does not prevent the new coronavirus disease * Hand dryers are not effective in killing the COVID-19,0
"Taking a hot bath does not prevent the new coronavirus disease Taking a hot bath will not prevent you from catching COVID-19. Your normal body temperature remains around 36.5C to 37C, regardless of the temperature of your bath or shower",0
"Spent all day disinfecting an enviornment exposed to three coronavirus patients, time to take a nice hot bleach bath \  #selfcare",2
"8. Taking a hot bath does not prevent the new coronavirus disease

9. The new coronavirus CANNOT be transmitted through mosquito bites.

10. Are hand dryers effective in killing the new coronavirus? No!

Credit: WHO, NCDC

#RosebudSchools #Tips #Ncdc #Education",0
WHO Myth busters: Taking a hot bath does not prevent the new coronavirus disease https://t.co/WxKiaT3B78,0
"""Take a hot bath. It will prevent you from catching the novel coronavirus.""  Your normal body temperature is 36.5 to 37 degrees Celsius. The temperature of your bath water is not going to rid you of the virus that is meant to act inside your lungs. #CoronaVirusUpdate  Continued.",1
Taking a hot bath can prevent the new #coronavirus  disease?  #hushpuppiespak #hushpuppiespolloncoronavirus,2
Taking a hot bath DOES NOT prevent the coronavirus   Hand dryers are NOT effective in killing the coronavirus   Ultraviolet light SHOULD NOT be used for sterilization and can cause skin irritation,1
Does taking hot bath protect you from coronavirus ? #COVID19 #ItaliaZonaRossa #coronavirus #COVID19 #CoronavirusLockdown #coronarvirusitalia #CoronavirusLockdown #coronavirusindia https://t.co/fwqdGSwvQz,2
"Covid-19 Health Tip

Taking a hot bath does not prevent the new coronavirus disease

#StaySafe
#OurHero
#AhmadiKids https://t.co/B8kqGF62sc",2
Hey @thedailyviper #fact : Taking a hot bath will not prevent you from catching COVID-19. #coronavirus #moronavirus #coronavirusiots #coronavirus #WHO,0
- The new coronavirus CANNOT be transmitted through mosquito bites. - Taking your bath with hot water does not prevent coronavirus! - Rubbing your hands with Anointing oil can't get rid of the virus. Use sanitizers or wash your hands properly with soap and water. #COVID19,2
"#DidYouKnow Taking a hot bath will NOT prevent you from catching #COVID19 

A lot of #misinformation has been going around about #coronavirus. Don’t fall for it! #BeMediaSmart https://t.co/3Vx6Ug5Zto",2
#lie : Taking a hot bath does not prevent the new coronavirus disease. #coronavirus https://t.co/AJfdDTPpkA,1
Hey @thedailyviper #fact : Taking a hot bath will not prevent you from catching COVID-19. #coronavirus #moronavirus #coronavirusiots #coronavirus #WHO,0
Can salt with water help prevent the coronavirus?,3
@ashaonthebeach @PrateekShah Haha way to get the folks in their 60s hooked to the TV and not step outside. Maybe we will get less fwds about using garlic n hot water to cure coronavirus after that,2
"I'm in my living room, with a candle on, listening to The Weeknd's new album, sipping on HEB sparkling water.  What's good #coronavirus?",3
The new coronavirus . I'm very fine but if  the sun shine emmited it it changed water H2O so can't preserved for long time but is new activity. The salt water changed it so the cost is not too expensive and I'm very interetsed in it.I used it by mixing with,3
Taking a hot bath DOES NOT prevent the coronavirus   Hand dryers are NOT effective in killing the coronavirus   Ultraviolet light SHOULD NOT be used for sterilization and can cause skin irritation,0
COVID-19 Myth-busters  There's a lot of false information around: These are the facts  Taking a hot bath DOES NOT prevent the coronavirus  #RiversCovid19 #coronavirus https://t.co/b4y2gfCw6k,0
"MISCONCEPTIONS ABOUT CORONA VIRUS ACCORDING TO WHO Taking a hot bath does not prevent the new coronavirus disease Taking a hot bath will not prevent you from catching COVID-19. Your normal body temperature remains around 36.5C to 37C, regardless of the temperature of your",0
"One must wash them with in hot water with salt and soda to prevent spread of the virus.
.
#fightcorona  #coronaawareness #coronavirus #coronavirus #stayhome #sanitize

@ahmedabadmirror @AhmedabadPolice @AmdavadAMC @sandeshnews @tv9gujarati @BJP4AmdavadCity https://t.co/7sj2P7nyjC",2
"The @WHO says taking a hot bath will not prevent #COVID19. Protect yourself by cleaning hands and avoid touching eyes, mouth and nose. #FlattenTheCurveGA #FlattenTheCurve #PublicHealth    For coronavirus info: https://t.co/VFqW5V7D5W https://t.co/b8Uw4kaO88",0
"Claim: taking a hot bath is an effective remedy against the novel #coronavirus, COVID-19.   Reality: health experts say there is no scientific evidence that bathing in hot water can prevent people from catching the virus  https://t.co/LsQiNszGEH",2
There is NO evidence that companion animals/pets such as dogs or cats can transmit the coronavirus.   Taking a hot bath DOES NOT prevent the coronavirus.   Hand dryers are NOT effective in killing the coronavirus. #LockdownNow  #CoronaFreeAfghanistan  #CoronaAFG https://t.co/LlJTMqAG91,2
"Q: Does taking a hot bath prevent the new #coronavirus disease?

A: Taking a hot bath will not prevent you from catching #COVID19. Your normal body temperature remains around 36.5°C to 37°C, regardless of the temperature of your bath or shower. https://t.co/F8BYvK48ex",0
#Mythbusters #COVID19UG  Taking a hot bath does not prevent the new coronavirus disease #BeInformed #StaySafeStayHome  #coronakindness https://t.co/wXovo63bjO,2
Myth busters on coronavirus 2019. Advice by WHO  1.Exposing yourself to the sun or to temperatures higher than 25C degrees DOES NOT prevent the coronavirus disease (COVID-19) 2.Taking a hot bath does not prevent the new coronavirus disease  https://t.co/NOjuM5O8cV,0
"COVID-19
Myth-busters

There's a lot of false information around:
These are the facts

Taking a hot bath DOES NOT prevent the coronavirus

#RiversCovid19
#coronavirus https://t.co/b4y2gfCw6k",0
Myth or Fact: Taking a hot bath does not prevent the new coronavirus disease? : : Read the AD to find out! #coronavirus #COVID19 @who https://t.co/cvNcgr0Ht4,0
#CoronavirusAlert: [Myth busters] Taking a hot bath prevents the new coronavirus disease.... just take a look ......... https://t.co/1R0WocYG47,1
"One must wash them with in hot water with salt and soda to prevent spread of the virus.
.
#fightcorona  #coronaawareness #coronavirus #coronavirus #stayhome #sanitize

@ahmedabadmirror @AhmedabadPolice @AmdavadAMC @sandeshnews @tv9gujarati @BJP4AmdavadCity https://t.co/7sj2P7nyjC",3
For God's sake @scorpiostingfj #fact : Taking a hot bath will not prevent you from catching COVID-19. #coronavirus #moronavirus #coronavirusiots,0
Myth Buster... Taking a hot bath will NOT prevent you from contracting the new coronavirus disease,0
Hey @kmasterman #fact : Taking a hot bath will not prevent you from catching COVID-19. #coronavirus,0
Hey @thedailyviper #fact : Taking a hot bath will not prevent you from catching COVID-19. #coronavirus #moronavirus #coronavirusiots #coronavirus #WHO,2
For God's sake @scorpiostingfj #fact : Taking a hot bath will not prevent you from catching COVID-19. #coronavirus #moronavirus #coronavirusiots,0
Here are 5 health benefits of taking hot showers that will make you happy https://t.co/xxmqv2LPq9 #shower #bath #wellness #joy #lifestyle #inthetimesofcoronavirus #coronavirus,0
"Just want to put my ignorant thoughts out on the weather As the coronavirus shuts down the heat, does that then allow cold weather to move but how much cold weather will move The movement of cold weather change the oceans but does then move heat so plant growth moves more North?",2
"@GreggCevallos Havent seen Amahd around lately ... cold/wet weather or coronavirus, you pick..",0
"Like baby bear said about the porridge, Its too cold. Its too hot. This is weather, too. Weve had an unseasonably hot spring. As a transplanted northerner, Ive not enjoyed it. Minor in comparison to the coronavirus issues. Hope all is well in your part of Canada, J.C.  https://t.co/R6BrSCOpwl",3
Thread.  #Myth (Cold weather and snow CANNOT kill the new coronavirus.) #Fact  There is no reason to believe that cold weather can kill the new coronavirus or other diseases. #COVID2019 #ReturnToAllah #ChinaHardTimePartner 1/3 https://t.co/lP0Flj1k44,0
"@DenzellCooper Try again, without the strawman arguments.  The UK death rate is less than last year, in a weird way, wuhan coronavirus is actually killing less than the flu and cold weather combined. Let's not let actual facts get in the way of a good faux outrage.  Just for you. https://t.co/6eB9iZH4pu",2
"@Dogsrgreat2 @kevski1922 @nickSCREENZ @MyPillowUSA @realDonaldTrump Covid-19 isn't the flu virus  The flu is airborne, Covid-19 isn't (as much) So in cold weather, the flu virus dries out and can float.  Covid-19 is much bigger and requires the droplets to remain suspended. Once it dries out, it falls to the ground.",2
"@KiwiVeritas @JWSpry Maybe think of it like cold/flu pattern... youre going into fall like weather... like in USA, thats when cases of flu and cold start to rise... maybe same with coronavirus. Time will tell",1
Cold weather and snow CANNOT kill the new coronavirus. https://t.co/JLJxVxPI1l,0
"@BlueGaynor Tell him, he seems to think you catch a cold in cold weather.  It's a coronavirus which mutates.",3
"@David67845265 @JulianSvendsen @realDonaldTrump In letter to the WH, National Academy of Sciences said data is mixed on whether coronavirus spreads as easily in warm weather as it does in cold weather, but that it might not matter much given that so few people in the world are immune to coronavirus.  https://t.co/tlIhz6zm7s",2
"I wonder if the coronavirus quarantine has anything to do with all this cold weather lately.. Global warming reversal, perhaps? ",0
"Hey everyone, the cold and flu season (both viruses) is fall and winter.  Do you understand what that means?  virus flourishes during cold weather and days of less sunlight.  Just like every cold and flu season, spring and summer will see a decrease in cases of coronavirus",2
@adamstiles Spring???? Maybe in June?? I wonder if this cold weather is promoting the coronavirus for a few months longer?,1
errr @IndianVCA #fact : There is no reason to believe that cold weather can kill the new coronavirus or other diseases. #coronavirus #moronavirus,0
Reality check @g_mathodi #lie : Cold weather and snow CANNOT kill the new coronavirus. #coronavirus,3
"@USMCLiberal @IngrahamAngle The common cold is a coronavirus cousin of Covid19 and thrives in cold weather. Yes the sun shines during the winter but heat plays a key role. It's like chemistry, if water is needed but you only have oxygen, that's not doing you any good. Add the H2 and you have what you need.",2
How is it #C19 is different from every other #coronavirus?   What weve been told:  - spreads 5X &gt; than the flu  - can survive up to 17 days - likes cold and hot weather  - may not have immunity after getting it - able to leap tall buildings in a single bound  Did I miss anything,1
Unless there's AMPLE #PPE and #TestKits to isolate any future #CoronavirusOutbreaks and provide #ContactTracing it will have all been for nothing. Everything will be worse in #Fall/#Winter months due to cold weather &amp; less ability for #PhysicalDistancing. #coronavirus #COVID19 https://t.co/3cRwYKtbZZ,1
It's pretty cold in Mzuzu today. A conducive weather for coronavirus.,1
"This cold weather just gives us more reason to keep staying home during this quarantine, you dont wanna catch coronavirus, a cold, hypothermia and a frostbite at the same time",1
"Plain truth: With this wet &amp; cold weather we're in for a rough path with this coronavirus-19. A disease flu like symptoms, in couple days the whole SA might end up being declared infected with the virus. Father God we need your help.! https://t.co/mG9yYdy0jl",1
the scary part about coronavirus-19 is it won't just go away like that anytime soon since there's no vaccine and they say weather temperatures cold or hot do not have any effect on the spread or slowdown,1
I am starting to get worried that coronavirus-19 will be running rampant when the weather gets cold again and that it wont be safe for me to go visit my family for the holidays. Thats the only time I think Ill be able to see them in the foreseeable future already anyway,1
Cold weather and snow cannot kill the new Coronavirus. #Coronavirus #coronavirus-19 Source: WHO https://t.co/8cYWhtBUGp,0
"3/3 It is not the cold weather that makes someone get sick, it is the germs. You must come into contact with the cold or flu to become infected. #myth #cold #flu #coronavirus #virus #winter #rain #washyourhands #socialdistancing #health #fitness #wellness #myth",2
Will the cold weather in the region be a factor in #coronavirus's greater spread?  How is locking people in away from the sun(Vitamin D) supposed to help?  Was Pres. Trump onto something when he said that the WHO got it wrong in many aspects? Will summer slow the virus down,0
Good Saturday my friends! I hope this day finds you healthy and happy. I am under the weather with a head cold but still loving this weather.  Stay safe and at home!  #inthedaysofcoronavirus #saturdaying https://t.co/F9Ecaj5s9X,0
@EscapePatagonia @MarkAmesExiled You also have summer and warmer weather. No country with warm weather has significant trouble with Covid-19. The virus again in terms of that is no different from all other viral airway infections. They are all most successful in winter and cold weather,1
"@JillybeanzAZ @dougducey @VP @AZNationalGuard @drcarachrist Sadly, we already know that it won't.  Unlike the flu or cold, which spikes in colder weather because we're huddled inside together for warmth, Covid-19 is highly contagious in open, large areas, just as much as it is in close quarters.",0
"@ak_bush @sizaninastyg @TakaTina1 Eeeerrr....Bhuti, okay not going to entertain you coz CLEARLY you are missing the point...being ""Covid-19 thrives in any type of weather""...be it summer winter...hot or cold. Do some research \ \ \ ",0
I Think Covid-19 make or keep weather cold! What do you think?,1
"@SkyNews Said That Hot Weather Or Cold Weather Can't Cure Covid-19, But Yet They Say One Can't Get It From Parcels Or Letters, Where's The Evidence, How Do They Know That. #ReneTrevor @MattHancock @BorisJohnson",1
"@JBitterly @_Jassssmine_ @MaryWills612 @Ameetdmello @Fly_Sistah @Megankstack @chrislhayes First of all can I give a little #FoodForThought
1. if #COVID19 is managed so we'll in the heat WHY R the hottest countries being hit so hard?
2. Why did #coronavirus really start spreading in parts of USA that started WARMING UP coming out of the COLD WINTER WEATHER?
#scientists",1
"#coronavirus question: Why in the evening news still a half hour? There's no sports to cover, we can't go out so who cares about weather, and only one news story. They cold be done in 2 minutes.",0
Cold weather States hearing that coronavirus doesn’t like heat &amp; humidity. https://t.co/T63yRRo7q4,1
"Well, we had some warm weather at the end of March, going out like a lamb! Early April was mild, but at mid-month we had unseasonably cold weather and snow. And Mother Nature has let the coronavirus run rampant through… https://t.co/Xkd8HwZ6GH",3
@anmitchell86 @aliciakeys Same lol been under the weather lately..no it’s not coronavirus lol just a common cold,2
@StovallQue @realamymholmes And we know that UV rays kills viruses. Also viruses tend not to do well in hot weather. The cold is a coronavirus and few people get a cold in the summer.,1
